"ACCELEROMETER X (m/s²)","ACCELEROMETER Y (m/s²)","ACCELEROMETER Z (m/s²)","GRAVITY X (m/s²)","GRAVITY Y (m/s²)","GRAVITY Z (m/s²)","LINEAR ACCELERATION X (m/s²)","LINEAR ACCELERATION Y (m/s²)","LINEAR ACCELERATION Z (m/s²)","GYROSCOPE X (rad/s)","GYROSCOPE Y (rad/s)","GYROSCOPE Z (rad/s)","LIGHT (lux)","MAGNETIC FIELD X (μT)","MAGNETIC FIELD Y (μT)","MAGNETIC FIELD Z (μT)","azimuth","ORIENTATION X (pitch °)","ORIENTATION Y (roll °)","PROXIMITY (i)","ATMOSPHERIC PRESSURE (hPa)","SOUND LEVEL (dB)","LOCATION Latitude : ","LOCATION Longitude : ","LOCATION Altitude ( m)","LOCATION Altitude-google ( m)","LOCATION Altitude-atmospheric pressure ( m)","LOCATION Speed ( Kmh)","LOCATION Accuracy ( m)","LOCATION ORIENTATION (°)","Time since start in ms ","Time since start in ms ","YYYY-MO-DD HH-MI-SS_SSS"
"3.107674","3.047819","10.030508","2.143755","3.397782","8.945934","0.963919","-0.349964","1.084574","-0.026632","0.037284","-0.079895","1032.0","-32.5","19.2","3.1","58.5946","-20.0695","-13.5671","3.15","1019.7944","71.08676","44.735283","10.766965","249.6964","124.44508680332977","63.3724","25.806452","26.0862","20 / 23",43,"2017-01-29 09:39:43:490",
"2.141614","2.746149","8.505402","2.052402","3.427262","8.95611","0.006612","0.079046","0.981025","-0.002131","-0.036219","-0.088417","1041.0","-32.7","18.7","3.9","60.0931","-20.4557","-12.9072","3.15","1019.7786","71.99822","44.73542","10.767058","258.8054","124.44508680332977","70.3233","25.806452",27751,"20 / 23",544,"2017-01-29 09:39:43:991",
"2.397793","3.148375","8.513782","2.173247","3.357751","8.95393","-0.130993","-0.794758","0.322405","0.02024","0.015979","-0.089482","1036.0","-33.6","18.5","3.8","60.463","-20.1589","-13.6268","3.15","1019.7494","70.27687","44.73542","10.767058","258.8054","124.44508680332977","70.3233","25.806452",27751,"20 / 23",1044,"2017-01-29 09:39:44:491",
"2.576161","3.357868","9.704898","2.171424","3.380274","8.945896","0.611835","0.197861","0.385506","0.009587","-0.023436","-0.08096","1026.0","-34.5","18.4","3.7","61.5648","-20.2804","-13.9919","3.15","1019.7368","71.07917","44.735596","10.767216","271.8451","124.44508680332977","73.6602","25.806452","30.5519","20 / 23",1544,"2017-01-29 09:39:44:991",
"0.275333","3.574543","9.587582","1.123334","3.479351","9.099594","-1.146079","0.123923","-0.536731","-0.033023","0.044741","-0.03835","1011.0","-34.9","17.9","3.7","64.1544","-21.0103","-7.6883","3.15","1019.7084","68.84603","44.735596","10.767216","271.8451","124.44508680332977","73.6602","25.806452","30.5519","20 / 23",2044,"2017-01-29 09:39:45:491",
"1.34195","3.489549","9.31943","0.808864","3.53338","9.112154","0.697089","0.626545","0.57359","-0.022371","0.025566","-0.007457","997.0","-35.4","17.7","3.6","64.9358","-21.1636","-5.0964","3.15","1019.7236","67.6131","44.73574","10.767385",255055,"124.44508680332977","78.2792","25.806452","33.5006","20 / 23",2544,"2017-01-29 09:39:45:991",
"1.194707","3.430891","9.55885","0.763619","3.498379","9.129546","0.125827","-0.439786","0.284456","-0.011718","0.011718","-0.008522","992.0","-35.6","17.7","4.5","65.9386","-20.9045","-5.2377","3.15",1019703,"69.53127","44.73574","10.767385",255055,"124.44508680332977","78.2792","25.806452","33.5006","20 / 23",3044,"2017-01-29 09:39:46:491",
"0.353145","3.234567","8.871716","0.659817","3.547116","9.118826","0.618686","0.059749","0.377776","0.021305","0.028762","-0.012783","978.0","-36.1","17.7","4.1","65.8087","-21.1972","-4.0509","3.15","1019.6702","67.53408","44.73574","10.767385",255055,"124.44508680332977","78.2792","25.806452","33.5006","20 / 23",3544,"2017-01-29 09:39:46:991",
"0.434548","3.791218","9.844958","0.602095","3.473528","9.151092","-0.71582","-0.240159","0.362269","0.039415","0.014914","0.007457","981.0","-35.9","17.7","3.8","65.9767","-21.1031","-3.3971","3.15","1019.6472","69.42867","44.7359","10.76757","244.7067","124.44508680332977","82.5625","25.806452","35.6783","20 / 23",4044,"2017-01-29 09:39:47:491",
"0.187945","2.913744","9.400834","0.463221","3.198601","9.258766","0.378341","-0.192681","-0.140449","-0.012783","-0.04048","0.004261","974.0","-35.9","17.5","4.6","66.193","-19.0363","-2.8642","3.15","1019.6412","68.06439","44.73605","10.76776","243.8001","124.44508680332977",88122,"25.806452","37.1701","20 / 23",4544,"2017-01-29 09:39:47:991",
